transcription,transcription_whisper_base_en
A CUP OF SUGAR MAKES SWEET FUDGE, A cup of sugar makes sweet fudge.
PLACE A ROSEBUSH NEAR THE PORCH STEPS, Place a rose bush near the porch steps.
BOTH LOST THEIR LIVES IN THE RAGING STORM, Both lost their lives in the raging storm.
WE TALKED OF THE SIDE SHOW IN THE CIRCUS, We talked of the sideshow in the circus.
USE A PENCIL TO WRITE THE FIRST DRAFT, Use a pencil to write the first draft.
HE RAN HALFWAY TO THE HARDWARE STORE, He ran halfway to the hardware store.
THE CLOCK STRUCK TO MARK THE THIRD PERIOD, The clock struck to mark the third period.
A SMALL CREEK CUT ACROSS THE FIELD, A small preek cut across the field.
CARS AND BUSSES STALLED IN SNOW DRIFTS, Cars and buses stalled in snow drifts.
THE SET OF CHINA HIT THE FLOOR WITH A CRASH, The set of China hit before with a crash.
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD, This is a grand season for hikes on the road.
THE DUNE ROSE FROM THE EDGE OF THE WATER, The dune rose from the edge of the water.
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE, Those words were the cue for the actor to leave.
A YACHT SLID AROUND THE POINT INTO THE BAY, A yacht slid around the point into the bay.
THE TWO MET WHILE PLAYING ON THE SAND, The two met while playing on the sound.
THE INK STAIN DRIED ON THE FINISHED PAGE, The ink stain dried on the finished page.
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT, The walled town was seized without a fight.
THE LEASE RAN OUT IN SIXTEEN WEEKS, The lease ran out in 16 weeks.
A TAME SQUIRREL MAKES A NICE PET, I tame squirrel mixed a nice pet
THE HORN OF THE CAR WOKE THE SLEEPING COP, The horn of the car woke the sleeping cop.
THE HEART BEATS STRONGLY AND WITH FIRM STROKES, The heart beat strongly and with firm strokes.
THE PEARL WAS WORN IN A THIN SILVER RING, The crawl was worn in a thin silver ring.
THE FRUIT PEEL WAS CUT IN THICK SLICES, The fruit peel was cut in thick slices.
THE NAVY ATTACKED THE BIG TASK FORCE, The Navy attacked the big task force.
SEE THE CAT GLARING AT THE SCARED MOUSE, See the cat glaring at the scared mouse
THERE ARE MORE THAN TWO FACTORS HERE, There are more than two factors here.
THE HAT BRIM WAS WIDE AND TOO DROOPY, The hat brim was wide and too droopy.
THE LAWYER TRIED TO LOSE HIS CASE, The lawyer tried to lose his case.
THE GRASS CURLED AROUND THE FENCE POST, The grass curled around the fence post.
CUT THE PIE INTO LARGE PARTS, Cut the pie into large parts.
MEN STRIVE BUT SELDOM GET RICH, Men's drive but seldom get rich
ALWAYS CLOSE THE BARN DOOR TIGHT, Always close the barn door tight
HE LAY PRONE AND HARDLY MOVED A LIMB, He lay prone and hardly moved a limb.
THE SLUSH LAY DEEP ALONG THE STREET, The slash lady belong the street.
A WISP OF CLOUD HUNG IN THE BLUE AIR, A wisp of cloud hung in the blue wire.
A POUND OF SUGAR COSTS MORE THAN EGGS, A pound of sugar costs more than eggs.
THE FIN WAS SHARP AND CUT THE CLEAR WATER, The thin was sharp and cut the clear water.
THE PLAY SEEMS DULL AND QUITE STUPID, The play seems dull and quite stupid.
BAIL THE BOAT TO STOP IT FROM SINKING, Fail the boat to stop it from sinking.
THE TERM ENDED IN LATE JUNE THAT YEAR, The term ended in late June that year.
A TUSK USED TO MAKE COSTLY GIFTS, I've tasked is used to make costly gifts.
TEN PINS WERE SET IN ORDER, 10 pins were set in order
THE BILL WAS PAID EVERY THIRD WEEK, The bill was paid every third week.
OAK IS STRONG AND ALSO GIVES SHADE, Oak is strong and also gives shade.
CATS AND DOGS EACH HATE THE OTHER, cats and dogs each hate the other
THE PIPE BEGAN TO RUST WHILE NEW, The pipe began to rest while new.
OPEN THE CRATE BUT DON'T BREAK THE GLASS, Open the crate but don't break the glass
ADD THE SUM TO THE PRODUCT OF THESE THREE, Add the sum to the product of these 3
THIEVES WHO ROB FRIENDS DESERVE JAIL, Thieves who rob friends deserve jail.
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE, The ripe taste of cheese improves with age.
ACT ON THESE ORDERS WITH GREAT SPEED, Act on these orders with great speed.
THE HOG CRAWLED UNDER THE HIGH FENCE, The hull crawled under the high fence.
MOVE THE VAT OVER THE HOT FIRE, Move the vet over the hot fire.
THE BARK OF THE PINE TREE WAS SHINY AND DARK, The bark of the pine tree was shiny and dark.
LEAVES TURN BROWN AND YELLOW IN THE FALL, Leaves turn brown and yellow in the fall.
THE PENNANT WAVED WHEN THE WIND BLEW, The pin out waved when the wind blew.
SPLIT THE LOG WITH A QUICK, Split the log with a quick
SHARP BLOW, Sharp Blow
BURN PEAT AFTER THE LOGS GIVE OUT, Burn Pete after the logs give out.
HE ORDERED PEACH PIE WITH ICE CREAM, He ordered Peach by with ice cream.
WEAVE THE CARPET ON THE RIGHT HAND SIDE, Weave the carpets on the right hand side.
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS, Hemp is a weed found in parts of the tropics.
A LAME BACK KEPT HIS SCORE LOW, A lame back kept to score low.
WE FIND JOY IN THE SIMPLEST THINGS, We find joy in the simplest things.
TYPE OUT THREE LISTS OF ORDERS, Type out three lists of orders.
THE HARDER HE TRIED THE LESS HE GOT DONE, The harder he tried the less he got done.
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE," De Boss, ran the show with a watchful eye."
THE CUP CRACKED AND SPILLED ITS CONTENTS, The cup cracked and spilled its contents.
PASTE CAN CLEANSE THE MOST DIRTY BRASS, Paste can cleanse the most dirty brass
THE SLANG WORD FOR RAW WHISKY IS BOOZE, This slang word for raw whiskey is booze.
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP, It caught its hind paw in a rusty trap.
THE WHARF COULD BE SEEN AT THE FARTHER SHORE, The wharf could be seen at the farther shore.
FEEL THE HEAT OF THE WEAK DYING FLAME, Feel the heat of the weak dying flame
THE TINY GIRL TOOK OFF HER HAT, The tiny girl took off her hat.
A CRAMP IS NO SMALL DANGER ON A SWIN, A cramp is no small danger on a swim.
HE SAID THE SAME PHRASE THIRTY TIMES, He said this same phrase 30 times.
PLUCK THE BRIGHT ROSE WITHOUT LEAVES, Pluck the bright rose without leaves.
TWO PLUS SEVEN IS LESS THAN TEN, 2 plus 7 is less than 10.
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL, The glow deepened in the eyes of the sweet girl.
BRING YOUR PROBLEMS TO THE WISE CHIEF, bring your problems to the wise chief
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH, Write a fond note to the friend you cherish.
CLOTHES AND LODGING ARE FREE TO NEW MEN, Close and lodging are free to new men.
WE FROWN WHEN EVENTS TAKE A BAD TURN, We frown when events take a bad turn.
PORT IS A STRONG WINE WITH A SMOKY TASTE, Port is a strong wine with a smoky taste.
THE YOUNG KID JUMPED THE RUSTY GATE, The young kid jumped the rusty gate.
GUESS THE RESULT FROM THE FIRST SCORES, Guess the result from the first scores.
A SALT PICKLE TASTES FINE WITH HAM, A salt pickle tastes fine with ham.
THE JUST CLAIM GOT THE RIGHT VERDICT, The just claim got the right verdict.
THOSE THISTLES BEND IN A HIGH WIND, Those thistles bend in a high wind.
PURE BRED POODLES HAVE CURLS, Pure bread poodles have curls.
THE TREE TOP WAVED IN A GRACEFUL WAY, The treetop waved in a graceful way.
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK, The spot on the blotter was made by Greenink.
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT, Mud was spattered on the front of his white shirt.
THE CIGAR BURNED A HOLE IN THE DESK TOP, The cigar burned a hole in the desktop.
THE EMPTY FLASK STOOD ON THE TIN TRAY, The empty flask stood on the taint tray.
A SPEEDY MAN CAN BEAT THIS TRACK MARK, A Speedy Man Can Beat This Track Mark
HE BROKE A NEW SHOELACE THAT DAY, He broke a new shoelace that day.
THE COFFEE STAND IS TOO HIGH FOR THE COUCH, The coffee stand is too high for the couch.
THE URGE TO WRITE SHORT STORIES IS RARE, The urge to write short stories is rare.
THE PENCILS HAVE ALL BEEN USED, The pencils have all been used.
THE PIRATES SEIZED THE CREW OF THE LOST SHIP, The pirate sees the crew of the lost ship.
WE TRIED TO REPLACE THE COIN BUT FAILED, We tried to replace the coin that failed.
SHE SEWED THE TORN COAT QUITE NEATLY, She sewed the torn coat quite neatly.
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT, The sofa cushion is red end of light weight.
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR, The jacket hung on the back of the white chair.
AT THAT HIGH LEVEL THE AIR IS PURE, At that high level the air is pure.
DROP THE TWO WHEN YOU ADD THE FIGURES, Drop the two when you add the figures.
A FILING CASE IS NOW HARD TO BUY, A filing case is now hard to buy.
AN ABRUPT START DOES NOT WIN THE PRIZE, An abrupt start does not win the prize.
WHIT IS BEST FOR MAKING TOYS AND BLOCKS, Wood is best for making toys and blocks.
THE OFFICE PAINT WAS DULL, The office pain was a doll.
SAID DAN, Sad Dan
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS, He knew the skill of the great young actress.
A RAG WILL SOAK UP SPILLED WATER, A rag will soak up spilled water.
A SHOWER OF DIRT FELL FROM THE HOT PIPES, A shower of dirt fell from the hot pipes.
STEAM HIST FROM THE BROKEN VALVE, Steam history from the broken valve
THE CHILD ALMOST HURT THE SMALL DOG, The child almost hurt the small dog.
THERE WAS A SOUND OF DRY LEAVES OUTSIDE, There was a sound of dry leaves outside.
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE, The sky that morning was clear and bright blue.
TORN SCRAPS LITTERED THE STONE FLOOR, Torrin scraps littered the stone floor.
SUNDAY IS THE BEST PART OF THE WEEK, Sunday is the best part of the week.
THE DOCTOR CURED HIM WITH THESE PILLS, The doctor cured him with these pills.
THE NEW GIRL WAS FIRED TODAY AT NOON, The new girl was fired to day at noon.
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT, They felt gay when the ship arrived in port.
ADD THE STORE'S ACCOUNT TO THE LAST CENT, Add the store's account to the last cent.
ACID BURNS HOLES IN WOOL CLOTH, Acid burns holes in wool cloth.
FAIRY TALES SHOULD BE FUN TO WRITE, Fairy tales should be fun to write.
EIGHT MILES OF WOODLAND BURN TO WASTE, 8 miles of woodland burned to waste.
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS, The third act was dull and tired the players.
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT, A young child should not suffer fright.
ADD THE COLUMN AND PUT THE SUM HERE, Add the column and put the sum here
WE ADMIRE AND LOVE A GOOD COOK, We admire and love a good cook.
THERE THE FLOOD MARK IS TEN INCHES, There the flood mark is 10 inches.
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE, He carved a head from the round block of marble.
SHE HAS A SMART WAY OF WEARING CLOTHES, She has a smart way of wearing clothes.
THE FRUIT OF A FIG TREE IS APPLE SHAPED, The fruit of a fig tree is apple-shaped.
CORN COBS CAN BE USED TO KINDLE A FIRE, Corn cobs can be used to candle a fire.
WHERE WERE THEY WHEN THE NOISE STARTED, Where were they when the noise started?
THE PAPER BOX IS FULL OF THUMB TACKS, The paper box is full of thumb tacks.
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN, Sell your gift to a buyer at a good gain.
THE TONGS LAY BESIDE THE ICE PAIL, The tongs lay beside the ice pale.
THE PETALS FALL WITH THE NEXT PUFF OF WIND, The pedals fall with the next puff of wind.
BRING YOUR BEST COMPASS TO THE THIRD CLASS, Bring your best compass to the third class
THEY COULD LAUGH ALTHOUGH THEY WERE SAD, They could laugh while though they were sad.
FARMERS CAME IN TO THRESH THE OAT CROP, Farmers came in to thresh the oath crop.
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC, The brown house was on fire to the attic.
THE LURE IS USED TO CATCH TROUT AND FLOUNDER, The lure is used to catch trout and flounder.
FLOAT THE SOAP ON TOP OF THE BATH WATER, Flow this soap on top of the bath water.
A BLUE CRANE IS A TALL WADING BIRD, A blue crane is a tall waiting bird.
A FRESH START WILL WORK SUCH WONDERS, A fresh start will work such wonders.
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT, The club rounded the ring for the 5th night.
AFTER THE DANCE, After the dance
THEY WENT STRAIGHT HOME, They went straight home.
THE HOST HAS TAUGHT THE NEW MAID TO SERVE, The hostess taught the new maid to serve.
HE WROTE HIS LAST NOVEL THERE AT THE INN, He wrote his last novel There at the Inn.
EVEN THE WORST WILL BEAT HIS LOW SCORE, Even the worst will beat his low score.
THE CEMENT HAD DRIED WHEN HE MOVED IT, The cement had dried when he moved it.
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE, The loss of the second ship was hard to take.
THE FLY MADE ITS WAY ALONG THE WALL, The fly made its way along the wall.
DO THAT WITH A WOODEN STICK, Do that with a wooden stick.
LIVE WIRES SHOULD BE KEPT COVERED, Live wires should be kept covered.
THE LARGE HOUSE HAD HOT WATER TAPS, The large house had hot water taps.
IT IS HARD TO ERASE BLUE OR RED INK, It is hard to erase blue or red ink.
WRITE AT ONCE OR YOU MAY FORGET IT, Write at once or you may forget it.
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS, The doorknob was made of bright clean brass.
THE WRECK OCCURRED BY THE BANK ON MAIN STREET, The wreck occurred by the bank on Main Street.
A PENCIL WITH BLACK LEAD WRITES BEST, A pencil with black league writes best.
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET, Coke's a young calf to drink from a bucket.
SCHOOLS FOR LADIES TEACH CHARM AND GRACE, Schools for ladies teach charm and grace.
THE LAMP SHONE WITH A STEADY GREEN FLAME, The lamp shown with a steady green flame.
THEY TOOK THE AXE AND THE SAW OF THE FOREST, They took the axe and the salt in the forest.
THE ANCIENT COIN WAS QUITE DULL AND WORN, The ancient coin was quite dull and worn.
THE SHAKY BARN FELL WITH A LOUD CRASH, The shaky barn fell with a loud crash.
JAZZ AND SWING FANS LIKE FAST MUSIC, Jazz and swing fans like fast music
RAKE THE RUBBISH UP AND THEN BURN IT, rake the rubbish up and then burn it
SLASH THE GOLD CLOTH INTO FINE RIBBONS, Slash the gold cloth into fine ribbons.
TRY TO HAVE THE COURT DECIDE THE CASE, Try to have the court decide the case.
THEY ARE PUSHED BACK EACH TIME THEY ATTACK, They are pushed back each time they attack.
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS, He broke his ties with groups of former friends.
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS, They floated on the raft to sun their white backs.
THE MAP HAD AN X THAT MEANT NOTHING, The map had an X that meant nothing.
WHITINGS ARE SMALL FISH CAUGHT IN NETS, Whitings are small fish caught in nuts.
SOME ADS SERVE TO CHEAT BUYERS, So Mads served to cheat buyers.
JERK THE ROPE IN THE BELL RINGS WEAKLY, jerk the rope and the bell rings weakly
A WAXED FLOOR MAKES US LOSE BALANCE, A waxed for makes us lose balance.
MADAM, Madam
THIS IS THE BEST BRAND OF CORN, This is the best brand of corn.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, On the islands the subris is soft and mild.
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The play began as soon as we sat down.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, This will lead the world in more sound and fury.
ADD SALT BEFORE YOU FRY THE EGG, Add salt before you fry the egg
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, The rush for funds reached its peak Tuesday.
THE BIRCH LOOKED STARK WHITE AND LONESOME, The birch looked star-quite and lonesome.
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The box is held by a bright red snapper.
TO MAKE PURE ICE, to make pure ice
YOU FREEZE WATER, You freeze water.
THE FIRST WORM GETS SNAPPED EARLY, The first worm gets snapped early.
JUMP THE FENCE AND HURRY UP THE BANK, Jump the fence and hurry up the bank.
YELL AN CLAP AS THE CURTAIN SLIDES BACK, Yell and clap as the curtain slides back.
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD, They are men who walk the middle of the road.
BOTH BROTHERS WERE THE SAME SIZE, Both brothers wear the same size.
IN SOME FORM OR OTHER WE NEED FUN, In some form or other we need fun.
THE PRINCE ORDERED HIS HEAD CHOPPED OFF, The prince ordered his head chopped off.
THE HOUSES ARE BUILT OF RED CLAY BRICKS, The houses are built of red clay bricks.
DUCKS FLY NORTH BUT LACK A COMPASS, Ducks fly north but lack a compass.
FRUIT FLAVORS ARE USED IN FIZZ DRINKS, Fruit flavors are used in fizz drinks.
THESE PILLS DO LESS GOOD THAN OTHERS, These pills do less good than others.
CANNED PEARS LACK FULL FLAVOR, canned pears lack full flavor
THE DARK POT HUNG IN THE FRONT CLOSET, The dark pot hung in the front closet.
CARRY THE PAIL TO THE WALL AND SPILL IT THERE, Carry the pale to the wall and spill it there.
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN, The train brought our hero to the big town.
WE ARE SURE THAT ONE WAR IS ENOUGH, We are sure that one war is enough.
GREAT PAINTS STRETCHED FOR MILES AROUND, Gray paint stretched for miles around
THE RUDE LAUGH FILLED THE EMPTY ROOM, The rude laugh filled the empty room.
HIGH SEATS ARE BEST FOR FOOTBALL FANS, High seats are best for football fans.
TEA SERVED FROM THE BROWN JUG IS TASTY, Tea served from the brown jug is tasty.
A DASH OF PEPPER SPOILS BEEF STEW, A dash of pepper spoils beef stew
A ZESTFUL FOOD IS THE HOT CROSS BUN, A zest for food is the hot grass bun.
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE, The horse trodden around the field at a brisk pace.
FIND THE TWIN WHO STOLE THE PEARL NECKLACE, Find the twin who stole the pearl necklace.
CUT THE CORD THAT BINDS THE BOX TIGHTLY, Cut the cord that binds the box tightly
THE RED TAPE BOUND THE SMUGGLED FOOD, The red tape bound the smuggled food.
LOOK IN THE CORNER TO FIND THE TAN SHIRT, Look in the corner to find the tan shirt
THE COLD DRIZZLE WILL HALT THE BOND DRIVE, The cold drizzle will halt the bond drive.
NINE MEN WERE HIRED TO DIG THE RUINS, 9 men were hired to dig the ruins.
THE JUNKYARD HAD A MOULDY SMELL, The junkyard had a moly smell.
THE FLINT SPUTTERED AND LIT A PINE TORCH, The flint spattered enlidipine torch.
SOAK THE CLOTH AND DROWN THE SHARP ODOUR, Sew the cloth and drown the sharp hooder
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS, The shelves were bare of both jam more crackers.
A JOY TO EVERY CHILD IS THE SWAN BOAT, A joy to every child is the swine boat.
ALL SAT FROZEN AND WATCHED THE SCREEN, All set frozen and watch the screen.
A CLOUD OF DUST STUNG HIS TENDER EYES," I cloud of dust, stung his tender eyes."
TO REACH THE END HE NEEDS MUCH COURAGE, To reach the end he needs much courage.
SHAPE THE CLAY GENTLY INTO BLOCK FORM, Shape the clay gently into block form
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW, A ridge on a smooth surface is a bump or flaw.
HEDGE APPLES MAY STAIN YOUR HANDS GREEN, Head japples may stain your hand screen
QUENCH YOUR THIRST, Quench your thirst
THEN EAT THE CRACKERS, Then need the crackers.
TIGHT CURLS GET LIMP ON RAINY DAYS, Tied curls get limp on rainy days.
THE MUTE MUFFLED THE HIGH TONES OF THE HORN, The mute muffled the high tones of the horn.
THE GOLD RING FITS ONLY A PIERCED EAR, The gold ring fits only appears to you.
THE OLD PAN WAS COVERED WITH HARD FUDGE, The old pen was covered with hard fudge.
WATCH THE LOG FLOAT IN THE WIDE RIVER, Watch the log float in the wide river.
THE NOTE ON THIS STALK OF WHEAT GREW DAILY, The nerd on the stock of wheat grew daily.
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE, The huba fallen leaves was set on fire.
RITE FAST IF YOU WANT TO FINISH EARLY, Write fast if you want to finish early.
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE, His shirt was clean but one button was gone.
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS, The barrel of barrel was a brew of malt and hops.
TIN CANS ARE ABSENT FROM STORE SHELVES, Tin cans are absent from store shelves.
SLIDE THE BOX INTO THAT EMPTY SPACE, Slide the box into that empty space
THE PLANT GREW LARGE AND GREEN IN THE WINDOW, The plant grew large and green in the window.
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD, The beam dropped down on the workman's head.
PINK CLOUDS FLOATED WITH THE BREEZE, Pink clouds floated with the breeze.
SHE DANCED LIKE A SWAN, She danced like a swan.
TALL AND GRACEFUL, tall and graceful
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS, The tube was blown in the tire flat and useless.
IT IS LATE MORNING ON THE OLD WALL CLOCK, It is late morning on the old wall clock.
LET'S ALL JOIN AS WE SING THE LAST CHORUS, Let's all join as we sing the last chorus.
THE LAST SWITCH CANNOT BE TURNED OFF, The last switch cannot be turned off.
THE FIGHT WILL END IN JUST SIX MINUTES, The fight will end in just 6 minutes.
THE STORE WALLS WERE LINED WITH COLORED FROCKS, The store walls were lined with colored frocks.
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS, The Peace League met to discuss their plans.
THE RISE TO FAME OF A PERSON TAKES LUCK, The rise to fame of a person takes luck.
PAPER IS SCARCE, Paper is scarce.
SO WRITE WITH MUCH CARE, So write with much care.
THE QUICK FOX JUMPED ON THE SLEEPING CAT, The quick fox jumped on the sleeping cat.
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS, The nozzle of the fire hose was bright brass.
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED, Screw the round cap on as tight as needed.
TIME BRINGS US MANY CHANGES, Time brings us many changes.
THE PURPLE TIE WAS TEN YEARS OLD, The purple tie was 10 years old.
MEN THINK AND PLAN AND SOMETIMES ACT, Men think and plan and sometimes act.
FILL THE INK JAR WITH STICKY GLUE, Fill the ink jar with sticky glue
HE SMOKE A BIG PIPE WITH STRONG CONTENTS, He smoke a big pipe with strong contents.
WE NEED GRAIN TO KEEP OUR MULES HEALTHY, We need grain to keep our mules healthy.
PACK THE RECORDS IN A NEAT THIN CASE, Back the records in a neat thin case.
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND, The crunch of feet in the snow was the only sound.
THE COPPER BOWL SHONE IN THE SUN'S RAYS, The copper bowl shown in the sun's rays.
BOARDS WILL WARP UNLESS KEPT DRY, Boards will warp and must kept dry.
THE PLUSH CHAIR LEANED AGAINST THE WALL, the plush charlined against the wall.
GLASS WILL CLINK WHEN STRUCK BY METAL, Glass will clink when struck by metal.
BATHE AND RELAX IN THE COOL GREEN GRASS, bathe and relax in the cool green grass
NINE ROWS OF SOLDIERS STOOD IN A LINE, 9 rows of soldiers stood in a line.
THE BEACH IS DRY AND SHALLOW AT LOW TIDE, The beach is dry and shallow at low tide.
THE IDEA IS TO SOW BOTH EDGES STRAIGHT, The idea is to sew both edges straight.
THE KITTEN CHASED THE DOG DOWN THE STREET, The kitten chased the dog down the street.
PAGES BOUND IN CLOTH MAKE A BOOK, Pages bound in cloth make a book.
TRY TO TRACE THE FINE LINES OF THE PAINTING, Try to trace the fine lines of the painting.
WOMEN FORM LESS THAN HALF OF THE GROUP, Women form less than half of the group.
THE ZONES MERGE IN THE CENTRAL PART OF TOWN, Pizzones merge in the central part of town.
A GEM IN THE ROUGH NEEDS WORK TO POLISH, A gym in the rough needs work to polish.
