transcription,transcription_wav2vec2
HE RAN HALFWAY TO THE HARDWARE STORE,HE RAN HALFWAY TO THE HARDWARE STORE
THE CLOCK STRUCK TO MARK THE THIRD PERIOD,THE CLOCK STRUCK TO MARK THE THIRD PERIOD
A SMALL CREEK CUT ACROSS THE FIELD,A SMAL CREK CUT ACROS THE FIELD
CARS AND BUSSES STALLED IN SNOW DRIFTS,CARS AND BUSES STALED IN SNOW DRIFTS
THE SET OF CHINA HIT THE FLOOR WITH A CRASH,THE SET OF CHINA HEAD BEFORE WITH A CRASH
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD,THIS IS A GRAND SEASON FOR HIKES ON THE ROAD
THE DUNE ROSE FROM THE EDGE OF THE WATER,THE DONE ROSE FROM THE EDGE OF THE WATER
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE,THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE
A YACHT SLID AROUND THE POINT INTO THE BAY,A YACHT SLIN AROUND THE POINT INTO THE BAY
THE TWO MET WHILE PLAYING ON THE SAND,THE TWO MET WHILE PLAYING ON THE SAND
THE INK STAIN DRIED ON THE FINISHED PAGE,THE INK STAIN DRIED ON THE FINISHED PAGE
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT,THE WALED TOWN WAS SEIZED WITHOUT A FIGHT
THE LEASE RAN OUT IN SIXTEEN WEEKS,THE LEASE RAN OUT IN SIXTEN WEKS
A TAME SQUIRREL MAKES A NICE PET,A TAME SQUIREL MAKES A NICE PET
THE HORN OF THE CAR WOKE THE SLEEPING COP,THE HORN OF THE CAR WOKE THE SLEPING COUP
THE HEART BEATS STRONGLY AND WITH FIRM STROKES,THE HEART BEAT STRONGLY AND WITH FIRM STROKES
THE PEARL WAS WORN IN A THIN SILVER RING,THE PEARL WAS WORN IN A THIN SILVER RING
THE FRUIT PEEL WAS CUT IN THICK SLICES,THE FRUIT PEL WAS CUT IN THICK SLICES
THE NAVY ATTACKED THE BIG TASK FORCE,THE NAVY ATACK THE BIG TASK FORCE
SEE THE CAT GLARING AT THE SCARED MOUSE,SE THE CAT GLARING AT THE SCARED MOUSE
THERE ARE MORE THAN TWO FACTORS HERE,THERE ARE MORE THAN TWO FACTORS HERE
THE HAT BRIM WAS WIDE AND TOO DROOPY,THE HAT BRIM WAS WIDE AND TUDRUPE
THE LAWYER TRIED TO LOSE HIS CASE,THE LAWYER TRIED TO LOSE HIS CASE
THE GRASS CURLED AROUND THE FENCE POST,THE GRAS CURLED AROUND THE FENCE POST
CUT THE PIE INTO LARGE PARTS,CUT THE PIE INTO LARGE PARTS
MEN STRIVE BUT SELDOM GET RICH,MEN STRIVE BUT SELDOM GET RICH
ALWAYS CLOSE THE BARN DOOR TIGHT,ALWAYS CLOSE THE BARN DOR TIGHT
HE LAY PRONE AND HARDLY MOVED A LIMB,HE LAY PONE AND HARDLY MOVED A LIMB
THE SLUSH LAY DEEP ALONG THE STREET,THE SLOSH LAY DEP ALONG THE STRET
A WISP OF CLOUD HUNG IN THE BLUE AIR,A WISP OF CLOUD HUNG IN THE BLUE IRE
A POUND OF SUGAR COSTS MORE THAN EGGS,A POUNDS OF SUGAR COSTS MORE THAN EGS
THE FIN WAS SHARP AND CUT THE CLEAR WATER,THE FIN WAS SHARP AND CUT THE CLEAR WATER
THE PLAY SEEMS DULL AND QUITE STUPID,THE PLAY SEMS DUL AND QUITE STUPID
BAIL THE BOAT TO STOP IT FROM SINKING,FAIL THE BOAT TO STOP IT FROM SINKING
THE TERM ENDED IN LATE JUNE THAT YEAR,THE TERMANDED AND LATE JUNE THAT YEAR
A TUSK USED TO MAKE COSTLY GIFTS,ITUSK IS USED TO MAKE COSTLY GIFTS
TEN PINS WERE SET IN ORDER,TEN PENS WERE SET IN ORDER
THE BILL WAS PAID EVERY THIRD WEEK,THE BIL WAS PAID EVERY THIRD WEK
OAK IS STRONG AND ALSO GIVES SHADE,OAK IS STRONG AND ALSO GIVES SHADE
CATS AND DOGS EACH HATE THE OTHER,CATS AND DOGS EACH HADE THE OTHER
THE PIPE BEGAN TO RUST WHILE NEW,THE PIPE BEGAN TO RUST WHILE NEW
OPEN THE CRATE BUT DON'T BREAK THE GLASS,OPEN THE CRAPE BUT DON'T BREAK THE GLAS
ADD THE SUM TO THE PRODUCT OF THESE THREE,AD THE SUM TO THE PRODUCT OF THESE THRE
THIEVES WHO ROB FRIENDS DESERVE JAIL,THIEVES WHO ROB FRIENDS DESERVE JAIL
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE,THE RIPE TASTE OF CHESE IMPROVES WITH AGE
ACT ON THESE ORDERS WITH GREAT SPEED,ACT ON THESE ORDERS WITH GREAT SPED
THE HOG CRAWLED UNDER THE HIGH FENCE,THE HOG CRAWLED UNDER THE HIGH FENCE
MOVE THE VAT OVER THE HOT FIRE,MOVE THE VET OVER THE HOT FIRE
THE BARK OF THE PINE TREE WAS SHINY AND DARK,THE BARK OF THE PINE TRE WAS SHINY AND DARK
LEAVES TURN BROWN AND YELLOW IN THE FALL,LEAVES TURN BROWN AND YELOW IN THE FOAL
THE PENNANT WAVED WHEN THE WIND BLEW,THE PINAT WAVE WHEN THE WIND BLEW
SPLIT THE LOG WITH A QUICK,SPLIT THE LOG WITH A QUICK
SHARP BLOW,SHARP BLOW
BURN PEAT AFTER THE LOGS GIVE OUT,BURN PETE AFTER THE LOGS GIVE OUT
HE ORDERED PEACH PIE WITH ICE CREAM,HE ORDERED PEACH BY WITH ICE CREAM
WEAVE THE CARPET ON THE RIGHT HAND SIDE,WEAVE THE CARPET ON THE RIGHT HAND SIDE
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS,HIMP IS A WED FOUND IN PARTS OF THE TROPICS
A LAME BACK KEPT HIS SCORE LOW,A LANE BACK KEPT HIS SCORE LOW
WE FIND JOY IN THE SIMPLEST THINGS,WE FIND JOY IN THE SIMPLEST THINGS
TYPE OUT THREE LISTS OF ORDERS,TYE POWED THRE LISTS OF ORDERS
THE HARDER HE TRIED THE LESS HE GOT DONE,THE HARDER HE TRIED THE LES HE GOT DONE
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE,THE BOS REN THE SHOW WITH A WATCHFUL EYE
THE CUP CRACKED AND SPILLED ITS CONTENTS,THE CUP CRACKED AND SPILED ITS CONTENTS
PASTE CAN CLEANSE THE MOST DIRTY BRASS,PASTE KINKLANS THE MOST DIRTY BRAS
THE SLANG WORD FOR RAW WHISKY IS BOOZE,THIS LANG WORD FOR RAW WHISKY IS BOSE
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP,IT CAUGHT ITS HIND PAW IN A RUSTY TRAP
THE WHARF COULD BE SEEN AT THE FARTHER SHORE,THE WHARF COULD BE SEN AT THE FARTHER SHORE
FEEL THE HEAT OF THE WEAK DYING FLAME,FEL THE HEAT OF THE WEAK DYING FLAME
THE TINY GIRL TOOK OFF HER HAT,THE TIWNY GIRL TOK OF HER HAT
A CRAMP IS NO SMALL DANGER ON A SWIN,A CRAMP IS NO SMAL DANGER ON A SWIM
HE SAID THE SAME PHRASE THIRTY TIMES,HE SAID THE SAME PHRASE THIRTY TIMES
PLUCK THE BRIGHT ROSE WITHOUT LEAVES,PLUCK THE BRIGHT ROSE WITHOUT LEAVES
TWO PLUS SEVEN IS LESS THAN TEN,TWO PLUS SEVEN IS LES THAN TEN
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL,THE GLOW DEPENED IN THE EYES OF THE SWET GIRL
BRING YOUR PROBLEMS TO THE WISE CHIEF,BRING YOUR PROBLEMS TO THE WISE CHIEF
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH,BRIGHT A FOND NO TO THE FRIEND YOU CHERISH
CLOTHES AND LODGING ARE FREE TO NEW MEN,CLOSE AND LODGING ARE FRE TO NEW MEN
WE FROWN WHEN EVENTS TAKE A BAD TURN,WE FROWN WHEN EVENTS TAKE A BAD TURN
PORT IS A STRONG WINE WITH A SMOKY TASTE,PORT IS A STRONG WINE WITH HA SMOKE YOU TASTE
THE YOUNG KID JUMPED THE RUSTY GATE,THE YOUNG KID JUMP THE RUSTY GAIT
GUESS THE RESULT FROM THE FIRST SCORES,GUES THE RESULT FROM THE FIRST SCORES
A SALT PICKLE TASTES FINE WITH HAM,A SALT PICKLE TASTES FINE WITH HAM
THE JUST CLAIM GOT THE RIGHT VERDICT,THE JUST CLAIM GOD THE RIGHT VERDICT
THOSE THISTLES BEND IN A HIGH WIND,THOSE THISTLES BEND IN A HIGH WIND
PURE BRED POODLES HAVE CURLS,PURE BRED PODLES HAVE CURLS
THE TREE TOP WAVED IN A GRACEFUL WAY,THE TRE TOP WAVED IN A GRACEFUL WAY
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK,THE SPOT ON THE BLOTER WAS MADE BY GREN INK
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT,MUD WAS SPATERED ON THE FRONT OF HIS WHITE SHIRT
THE CIGAR BURNED A HOLE IN THE DESK TOP,THE CIGAR BURNED A HOLE IN THE DESK TOP
THE EMPTY FLASK STOOD ON THE TIN TRAY,THE EMPTY FLASK STOD ON THE TINCH RAY
A SPEEDY MAN CAN BEAT THIS TRACK MARK,A SPEDY MAN CAN BE THIS TRACK MARK
HE BROKE A NEW SHOELACE THAT DAY,HE BROKE A NEW SHOELACE THAT DAY
THE COFFEE STAND IS TOO HIGH FOR THE COUCH,THE COFE STINED IS TO HIGH FOR THE COUCH
THE URGE TO WRITE SHORT STORIES IS RARE,THE URGED TO WRITE SHORT STORIES IS RARE
THE PENCILS HAVE ALL BEEN USED,THE PENCILS HAVE AL BEN USED
THE PIRATES SEIZED THE CREW OF THE LOST SHIP,THE PIRATES SEIZE THE CREW OF THE LOST SHIP
WE TRIED TO REPLACE THE COIN BUT FAILED,WE TRIED TO REPLACE THE COIN THAT FAILED
SHE SEWED THE TORN COAT QUITE NEATLY,SHE SOWED THE TORN COAT QUITE NEATLY
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT,THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR,THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR
AT THAT HIGH LEVEL THE AIR IS PURE,AT THAT HIGH LEVEL THE AIR IS PURE
DROP THE TWO WHEN YOU ADD THE FIGURES,DROP THE TWO WHEN YOU AD THE FIGURES
A FILING CASE IS NOW HARD TO BUY,A FILE ING CASE IS NOW HARD TO BUY
AN ABRUPT START DOES NOT WIN THE PRIZE,AN ABRUPT START DOES NOT WIN THE PRIZE
WHIT IS BEST FOR MAKING TOYS AND BLOCKS,WOD IS BEST FOR MAKING TOYS AND BLOCKS
THE OFFICE PAINT WAS DULL,THE OFICE PAINED WAS ADUL
SAID DAN,SAD DAN
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS,HE KNEW THE SKIL OF THE GREAT YOUNG ACTRES
A RAG WILL SOAK UP SPILLED WATER,A RAG WIL SOAK UP SPILED WATER
A SHOWER OF DIRT FELL FROM THE HOT PIPES,A SHOWER OF DIRT FEL FROM THE HOT PIPES
STEAM HIST FROM THE BROKEN VALVE,STEAM HISED FROM THE BROKEN VALVE
THE CHILD ALMOST HURT THE SMALL DOG,THE CHILD ALMOST HURT THE SMAL DOG
THERE WAS A SOUND OF DRY LEAVES OUTSIDE,THERE WAS A SOUND OF DRY LEAVES OUTSIDE
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE,THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE
TORN SCRAPS LITTERED THE STONE FLOOR,TORN SCRAPS LITERED THE STONE FLOR
SUNDAY IS THE BEST PART OF THE WEEK,SUNDAY IS THE BEST PART OF THE WEK
THE DOCTOR CURED HIM WITH THESE PILLS,THE DOCTOR CURED HIM WITH THESE PILS
THE NEW GIRL WAS FIRED TODAY AT NOON,THE NEW GIRL WAS FIRED DO DAY AT NON
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT,THEY FELT GAY WHEN THE SHIP ARIVED IN PORT
ADD THE STORE'S ACCOUNT TO THE LAST CENT,AD THE STORES ACOUNT TO THE LAST SCENT
ACID BURNS HOLES IN WOOL CLOTH,ACID BURNS HOLES IN WOL CLOTH
FAIRY TALES SHOULD BE FUN TO WRITE,FAIRY TALES SHOULD BE FUN TO WRITE
EIGHT MILES OF WOODLAND BURN TO WASTE,EIGHT MILES OF WODLAND BURNED TO WASTE
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS,THE THIRD ACT WAS DUL AND TIRED THE PLAYERS
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT,A YOUNG CHILD SHOULD NOT SUFER FRIGHT
ADD THE COLUMN AND PUT THE SUM HERE,AD THE COLUMN AND PUT THE SUM HERE
WE ADMIRE AND LOVE A GOOD COOK,WE ADMIRE AND LOVE A GOD COK
THERE THE FLOOD MARK IS TEN INCHES,THERE THE FLOD MARK IS TEN INCHES
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE,HE CARVED AHEAD FROM THE ROUND BLOCK OF MARBLE
SHE HAS A SMART WAY OF WEARING CLOTHES,SHE HAS A SMART WAY OF WEARING CLOTHES
THE FRUIT OF A FIG TREE IS APPLE SHAPED,THE FRUIT OF A FIG TRE IS APLE SHAPED
CORN COBS CAN BE USED TO KINDLE A FIRE,CORN COBS CAN BE USED TO KINDLE A FIRE
WHERE WERE THEY WHEN THE NOISE STARTED,WHERE WERE THEY WHEN THE NOISE STARTED
THE PAPER BOX IS FULL OF THUMB TACKS,THE PAPER BOX IS FUL OF THUMB TAC
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN,SAW YOUR GIFT TO A BYR AT A GOD GAIN
THE TONGS LAY BESIDE THE ICE PAIL,THE TONGS LAY BESIDE THE ICE PALE
THE PETALS FALL WITH THE NEXT PUFF OF WIND,THE PETALS FAL WITH THE NEXT POTH OF WIND
BRING YOUR BEST COMPASS TO THE THIRD CLASS,BRING YOUR BEST COMPAS TO THE THIRD CLAS
THEY COULD LAUGH ALTHOUGH THEY WERE SAD,THEY COULD LAUGH WHILE THOUGH THEY WERE SAD
FARMERS CAME IN TO THRESH THE OAT CROP,FARMERS CAME IN TO THRUSH THE OLD CROP
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC,THE BROWN HOUSE WAS ON FIRE TO THE ATIC
THE LURE IS USED TO CATCH TROUT AND FLOUNDER,THE LURE IS USED TO CATCH TROUT AND FLOUNDER
FLOAT THE SOAP ON TOP OF THE BATH WATER,FLOW THE SOAP ON TOP OF THE BATH WATER
A BLUE CRANE IS A TALL WADING BIRD,A BLUE CRANE IS A TAL WADING BIRD
A FRESH START WILL WORK SUCH WONDERS,A FRESH START WIL WORK SUCH WANDERS
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT,THE CLUB RENDED THE RING FOR THE FIFTH NIGHT
AFTER THE DANCE,AFTER THE DANCE
THEY WENT STRAIGHT HOME,THEY WENT STRAIGHT HOME
THE HOST HAS TAUGHT THE NEW MAID TO SERVE,THE HOSTES TAUGHT THE NEW MADE TO SERVE
HE WROTE HIS LAST NOVEL THERE AT THE INN,HE WROTE HIS LAST NOVEL THERED THE IN
EVEN THE WORST WILL BEAT HIS LOW SCORE,EVEN THE WORST WIL BEAT HIS LOW SCORE
THE CEMENT HAD DRIED WHEN HE MOVED IT,THE SAMENT HAD DRIED WHEN HE MOVED IT
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE,THE LOS OF THE SECOND SHIP WAS HARD TO TAKE
THE FLY MADE ITS WAY ALONG THE WALL,THE FLY MADE ITS WAY ALONG THE WAL
DO THAT WITH A WOODEN STICK,DO THAT WITH A WODEN STICK
LIVE WIRES SHOULD BE KEPT COVERED,LIVE WIRES SHOULD BE KEPT COVERED
THE LARGE HOUSE HAD HOT WATER TAPS,THE LARGE HOUSE HAD HOT WATER TAPS
IT IS HARD TO ERASE BLUE OR RED INK,IT IS HARD TO A RACE BLUE OR RED INK
WRITE AT ONCE OR YOU MAY FORGET IT,RIGHT AT ONCE OR YOU MAY FORGET IT
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS,THE DORKNOB WAS MADE OF BRIGHT CLEAN BRAS
THE WRECK OCCURRED BY THE BANK ON MAIN STREET,THE WRECK OCURED BY THE BANK ON MAIN STRET
A PENCIL WITH BLACK LEAD WRITES BEST,A PENCIL WITH BLACK LEAGUE RIGHTE'S BEST
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET,COAX A YOUNG HALF TO DRINK FROM A BARKET
SCHOOLS FOR LADIES TEACH CHARM AND GRACE,SCHOLS FOR LADIES TEACH CHARM AND GRACE
THE LAMP SHONE WITH A STEADY GREEN FLAME,THE LAMP SHONE WITH A STEADY GREN FLAME
THEY TOOK THE AXE AND THE SAW OF THE FOREST,THEY TOK THE AXE AND IS SOUGHT IN THE FOREST
THE ANCIENT COIN WAS QUITE DULL AND WORN,THE ANCIENT COIN WAS QUITE DUL AND WORN
THE SHAKY BARN FELL WITH A LOUD CRASH,THE SHAKE BARN FEL WITH A LOUD CRASH
JAZZ AND SWING FANS LIKE FAST MUSIC,JASINS SWING FINS LIKE FAST MUSIC
RAKE THE RUBBISH UP AND THEN BURN IT,RAK THE RUBISH UP AND THEN BURNET
SLASH THE GOLD CLOTH INTO FINE RIBBONS,SLASH THEY GOLD CLOTH INTO FINE RIBONS
TRY TO HAVE THE COURT DECIDE THE CASE,TRY TO HAVE THE COURT DECIDE THE CASE
THEY ARE PUSHED BACK EACH TIME THEY ATTACK,THEY ARE PUSHED BACK EACH TIME THEY ATACK
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS,HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS,THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS
THE MAP HAD AN X THAT MEANT NOTHING,THE MAP HAD AN EX THAT MEANT NOTHING
WHITINGS ARE SMALL FISH CAUGHT IN NETS,WHIDINGS ARE SMAL FISH CAUGHT IN NETS
SOME ADS SERVE TO CHEAT BUYERS,SOMAD SERVE TO CHEAT BUYERS
JERK THE ROPE IN THE BELL RINGS WEAKLY,JERK THE ROPE AND THE BEL RINGS WEAKLY
A WAXED FLOOR MAKES US LOSE BALANCE,A WAXED FOR MAKES US LOSE BALANCE
MADAM,MADAM
THIS IS THE BEST BRAND OF CORN,THIS IS THE BEST BRAND OF CORN
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD,ON THE ISLANDS THE SEA BREZE IS SOFT AND MILD
THE PLAY BEGAN AS SOON AS WE SAT DOWN,THE PLAY BEGAN AS SON AS WE SAT DOWN
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY,THIS WIL LEAD THE WORLD A MORE SOUND AND FURY
ADD SALT BEFORE YOU FRY THE EGG,AD SALT BEFORE YOU FRY THE EG
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY,THE RUSH FOR FUNDS REACHED ITS WEAK TUESDAY
THE BIRCH LOOKED STARK WHITE AND LONESOME,THOUGH BIRCHS LOKED STAR QUITE AND LONESOME
THE BOX IS HELD BY A BRIGHT RED SNAPPER,THE BOX IS HELD BY A BRIGHT RED SNAPER
TO MAKE PURE ICE,TO MAKE PURE RICE
YOU FREEZE WATER,YOU FREZE WATER
THE FIRST WORM GETS SNAPPED EARLY,THE FIRST WORM GIDS SNAPTURILY
JUMP THE FENCE AND HURRY UP THE BANK,JUMP THE FENCE AND HURY UP THE BANK
YELL AN CLAP AS THE CURTAIN SLIDES BACK,YEL AND CLAP AS THE CURTAIN SLIDES BACK
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD,THEY ARE MEN WHO WALK THE MIDLE OF THE ROAD
BOTH BROTHERS WERE THE SAME SIZE,BOTH BROTHERS WERE THE SAME SIZE
IN SOME FORM OR OTHER WE NEED FUN,IN SOME FORM OR OTHER WE NED FUN
THE PRINCE ORDERED HIS HEAD CHOPPED OFF,THE PRINCE ORDERED HIS HEAD CHOPED OF
THE HOUSES ARE BUILT OF RED CLAY BRICKS,THE HOUSES ARE BUILT OF RED CLAY BRICKS
DUCKS FLY NORTH BUT LACK A COMPASS,DUCKS FLY NORTH BUT LACK A COMPAS
FRUIT FLAVORS ARE USED IN FIZZ DRINKS,FRUIT FLAVORS ARE USED IN FIZ DRINKS
THESE PILLS DO LESS GOOD THAN OTHERS,THESE PILS DO LES GOD THAN OTHERS
CANNED PEARS LACK FULL FLAVOR,CANT PAIRS LACK FUL FLAVOR
THE DARK POT HUNG IN THE FRONT CLOSET,THE DARK POT HUNG IN THE FRONT CLAWS IT
CARRY THE PAIL TO THE WALL AND SPILL IT THERE,CARY THE PAIL TO THE WAL AND SPIL IT THERE
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN,THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN
WE ARE SURE THAT ONE WAR IS ENOUGH,WE ARE SURE THAT ONE MORE IS ENOUGH
GREAT PAINTS STRETCHED FOR MILES AROUND,GRAY PAINTS STRETCHED FOR MILES AROUND
THE RUDE LAUGH FILLED THE EMPTY ROOM,THE RUDE LAUGH FILED THE EMPTY ROM
HIGH SEATS ARE BEST FOR FOOTBALL FANS,HIGH SEATS ARE BEST FOR FOTBAL FANS
