transcription,transcription_whisper_base
THE STRAY CAT GAVE BIRTH TO KITTENS, The Stray Cat gave birth to kids.
THE YOUNG GIRL GAVE NO CLEAR RESPONSE, The young girl give no clear response.
THE MEAL WAS COOKED BEFORE THE BELL RANG, The meal was cooked before the bell rang.
WHAT JOY THERE IS IN LIVING, What joy there is in living.
A KING RULED THE STATE IN THE EARLY DAYS, A king ruled the state in the early days.
THE SHIP WAS TORN APART ON THE SHARP REEF, The ship was door-knocked on the sharp reef.
SICKNESS KEPT HIM HOME THE THIRD WEEK, Sickness kept him home the third week.
THE WIDE ROAD SHIMMERED IN THE HOT SUN, The wide road shimmered in the hot sun.
THE LAZY COW LAY IN THE COOL GRASS, The Lizzy Calais in the Cool Grass
LIFT THE SQUARE STONE OVER THE FENCE, Lift the square stone over the fence.
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE, The rope will bind the seven bucks at once.
HOP OVER THE FENCE AND PLUNGE IN, Hop over the fence and plunge in.
THE FRIENDLY GANG LEFT THE DRUG STORE, The friendly gang left the drugstore.
MESH WIRE KEEPS CHICKS INSIDE, Mesh wire keeps chicks inside.
THE FROSTY AIR PASSED THROUGH THE COAT, The frosty air passed through the coat.
THE CROOKED MAZE FAILED TO FOOL THE MOUSE, The crooked maze fell to full the mouse.
ADDING FAST LEADS TO WRONG SUMS, Adding fast leads to wrong sums.
THE SHOW WAS A FLOP FROM THE VERY START, The show was a flop from the very start.
A SAW AS A TOOL USED FOR MAKING BOARDS, A saw is a tool used for making boards.
THE WAGON MOVED ON WELL OILED WHEELS, The wagon moved on well-oiled wheels.
MARCH THE SOLDIERS PAST THE NEXT HILL, March the soldiers past the next hill.
A CUP OF SUGAR MAKES SWEET FUDGE, A cup of sugar makes sweet fudge.
PLACE A ROSEBUSH NEAR THE PORCH STEPS, Place a rose bush near the porch steps.
BOTH LOST THEIR LIVES IN THE RAGING STORM, Both lost their lives in the raging storm.
WE TALKED OF THE SIDE SHOW IN THE CIRCUS, We talked of the side show in the circus.
USE A PENCIL TO WRITE THE FIRST DRAFT, Use a pencil to write the first draft.
HE RAN HALFWAY TO THE HARDWARE STORE, He ran halfway to the hardware store.
THE CLOCK STRUCK TO MARK THE THIRD PERIOD, The clock struck to mark the third period.
A SMALL CREEK CUT ACROSS THE FIELD, A small creek cut across the field.
CARS AND BUSSES STALLED IN SNOW DRIFTS, Cars and buses stalled in snow drifts.
THE SET OF CHINA HIT THE FLOOR WITH A CRASH, The set of China hit before with a crash.
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD, This is a grand season for hikes on the road.
THE DUNE ROSE FROM THE EDGE OF THE WATER, The dune rose from the edge of the water.
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE, Those words were the cue for the actor to leave.
A YACHT SLID AROUND THE POINT INTO THE BAY, A yacht sling around the point into the bay.
THE TWO MET WHILE PLAYING ON THE SAND, the two met while playing on the sound.
THE INK STAIN DRIED ON THE FINISHED PAGE, The ink stained dried on the finished page.
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT, The walled town was seized without a fight.
THE LEASE RAN OUT IN SIXTEEN WEEKS, The lease ran out in 16 weeks.
A TAME SQUIRREL MAKES A NICE PET, A tame squirrel makes a nice pet.
THE HORN OF THE CAR WOKE THE SLEEPING COP, The horn of the car woke the sleeping cop.
THE HEART BEATS STRONGLY AND WITH FIRM STROKES, The heart beats strongly and with firm strokes.
THE PEARL WAS WORN IN A THIN SILVER RING, The crawl was worn in a thin silver ring.
THE FRUIT PEEL WAS CUT IN THICK SLICES, The fruit peel was cut in thick slices.
THE NAVY ATTACKED THE BIG TASK FORCE, The Navy attacked the Big Task Force.
SEE THE CAT GLARING AT THE SCARED MOUSE, See the cat glaring at the scared mouse.
THERE ARE MORE THAN TWO FACTORS HERE, There are more than two factors here.
THE HAT BRIM WAS WIDE AND TOO DROOPY, The hat brim was wide and 2-jrupy.
THE LAWYER TRIED TO LOSE HIS CASE, The lawyer tried to lose his case.
THE GRASS CURLED AROUND THE FENCE POST, The grass curled around the fence post.
CUT THE PIE INTO LARGE PARTS, Cut the pie into large parts.
MEN STRIVE BUT SELDOM GET RICH, Men's Drive Butts Eldom get rich.
ALWAYS CLOSE THE BARN DOOR TIGHT, Always close the barn door tight.
HE LAY PRONE AND HARDLY MOVED A LIMB, He lay prone and hardly moved a limb.
THE SLUSH LAY DEEP ALONG THE STREET, The slash lay deep along the street.
A WISP OF CLOUD HUNG IN THE BLUE AIR, A whisper of cloud hung in the blue wire.
A POUND OF SUGAR COSTS MORE THAN EGGS, A pound of sugar costs more than eggs.
THE FIN WAS SHARP AND CUT THE CLEAR WATER, The fin was sharp and cut the clear water.
THE PLAY SEEMS DULL AND QUITE STUPID, The play seems dull and quite stupid.
BAIL THE BOAT TO STOP IT FROM SINKING, Vale the boat to stop it from sinking.
THE TERM ENDED IN LATE JUNE THAT YEAR, The term ended in late June that year.
A TUSK USED TO MAKE COSTLY GIFTS, I task is used to make costly gifts.
TEN PINS WERE SET IN ORDER, 10 pins were set in order.
THE BILL WAS PAID EVERY THIRD WEEK, The bill was paid every third week.
OAK IS STRONG AND ALSO GIVES SHADE, Oak is strong and also gives shade.
CATS AND DOGS EACH HATE THE OTHER, Cats and dogs each hate the other.
THE PIPE BEGAN TO RUST WHILE NEW, The pipe began to rust while new.
OPEN THE CRATE BUT DON'T BREAK THE GLASS, Open the crate but don't break the glass.
ADD THE SUM TO THE PRODUCT OF THESE THREE, Add the sum to the product of these three.
THIEVES WHO ROB FRIENDS DESERVE JAIL, Thieves who rob friends deserve jail.
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE, The ripe taste of cheese improves with age.
ACT ON THESE ORDERS WITH GREAT SPEED, Act on these orders with great speed.
THE HOG CRAWLED UNDER THE HIGH FENCE, The hull crawled under the high fence.
MOVE THE VAT OVER THE HOT FIRE, Move the vet over the hot fire.
THE BARK OF THE PINE TREE WAS SHINY AND DARK, The bark of the pine tree was shiny and dark.
LEAVES TURN BROWN AND YELLOW IN THE FALL, Leaves turn brown and yellow in the fall.
THE PENNANT WAVED WHEN THE WIND BLEW, The pin out wave to a new wind blue.
SPLIT THE LOG WITH A QUICK, Split the log with a quick.
SHARP BLOW, Sharp Blow
BURN PEAT AFTER THE LOGS GIVE OUT, Burn Pete after the logs give out.
HE ORDERED PEACH PIE WITH ICE CREAM, He ordered Peach by with ice cream.
WEAVE THE CARPET ON THE RIGHT HAND SIDE, Weave the carpets on the right-hand side.
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS, Hemp is a weed found in parts of the tropics.
A LAME BACK KEPT HIS SCORE LOW, Elaine Back Captives Squarlo
WE FIND JOY IN THE SIMPLEST THINGS, We find joy in the simplest things.
TYPE OUT THREE LISTS OF ORDERS, Type out three lists of orders.
THE HARDER HE TRIED THE LESS HE GOT DONE, The harder he tried the less he got done.
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE," Debaus, run the show with a watchful eye."
THE CUP CRACKED AND SPILLED ITS CONTENTS, The Cub cracked and spilled its contents.
PASTE CAN CLEANSE THE MOST DIRTY BRASS, Paste can cleanse the most dirty brass.
THE SLANG WORD FOR RAW WHISKY IS BOOZE, This slang word for raw whiskey is booze.
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP, It caught its hind paw in a rusty trap.
THE WHARF COULD BE SEEN AT THE FARTHER SHORE, The wolf could be seen at the farther shore.
FEEL THE HEAT OF THE WEAK DYING FLAME, Feel the heat of the weak dying flame.
THE TINY GIRL TOOK OFF HER HAT, The tiny girl took off her hat.
A CRAMP IS NO SMALL DANGER ON A SWIN, A cramp is no small danger on a swim.
HE SAID THE SAME PHRASE THIRTY TIMES, He said the same phrase 30 times.
PLUCK THE BRIGHT ROSE WITHOUT LEAVES, Plug the bright rose without leaves.
TWO PLUS SEVEN IS LESS THAN TEN, 2 plus 7 is less than 10.
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL, The glow deepened in the eyes of the sweet girl.
BRING YOUR PROBLEMS TO THE WISE CHIEF, Bring your problems to the wise chief.
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH, Write a fond note to the friend you cherish.
CLOTHES AND LODGING ARE FREE TO NEW MEN, Close and lodging are free to newmen.
WE FROWN WHEN EVENTS TAKE A BAD TURN, We frown when events take a bad turn.
PORT IS A STRONG WINE WITH A SMOKY TASTE, Port is a strong wine with a smoky taste.
THE YOUNG KID JUMPED THE RUSTY GATE, The young kid jumped the rusty gate.
GUESS THE RESULT FROM THE FIRST SCORES, Guess the result from the first scores.
A SALT PICKLE TASTES FINE WITH HAM, Assault Pickle Tastes Fine With Ham
THE JUST CLAIM GOT THE RIGHT VERDICT, The just claim got the right verdict.
THOSE THISTLES BEND IN A HIGH WIND, Those missiles been dinner high wind.
PURE BRED POODLES HAVE CURLS, Pure bread poodles have curls.
THE TREE TOP WAVED IN A GRACEFUL WAY, The tree top waved in a graceful way.
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK, The spot on the blotter was made by Greenink.
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT, Mud was spattered on the front of his white shirt.
THE CIGAR BURNED A HOLE IN THE DESK TOP, This cigar burned a hole in the desk top.
THE EMPTY FLASK STOOD ON THE TIN TRAY, The empty flask stood on the tin tray.
A SPEEDY MAN CAN BEAT THIS TRACK MARK, A speedy man can beat this track mark.
HE BROKE A NEW SHOELACE THAT DAY, He broke a new shoelace that day.
THE COFFEE STAND IS TOO HIGH FOR THE COUCH, The coffee stand is too high for the couch.
THE URGE TO WRITE SHORT STORIES IS RARE, Be urged to write short stories is rare.
THE PENCILS HAVE ALL BEEN USED, The pencils have all been used.
THE PIRATES SEIZED THE CREW OF THE LOST SHIP, The Pirates sees the crew of the Lost Ship.
WE TRIED TO REPLACE THE COIN BUT FAILED, We tried to replace the coin they failed.
SHE SEWED THE TORN COAT QUITE NEATLY, She sowed the torn coat quite neatly.
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT, The suffocation is red and of light weight.
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR, The jacket hung on the back of the wide chair.
AT THAT HIGH LEVEL THE AIR IS PURE, At that high level the air is pure.
DROP THE TWO WHEN YOU ADD THE FIGURES, Drop the two when you add the figures.
A FILING CASE IS NOW HARD TO BUY, A filing case is now hard to buy.
AN ABRUPT START DOES NOT WIN THE PRIZE, And a rough start does not win the prize.
WHIT IS BEST FOR MAKING TOYS AND BLOCKS, Wood is best for making toys and blocks.
THE OFFICE PAINT WAS DULL, The office pane was a dull.
SAID DAN, Sad Dan.
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS, He knew the skill of the great young actress.
A RAG WILL SOAK UP SPILLED WATER, A rag will soak up spilled water.
A SHOWER OF DIRT FELL FROM THE HOT PIPES, A shower of dirt fell from the hot pipes.
STEAM HIST FROM THE BROKEN VALVE, Steam hissed from the broken valve.
THE CHILD ALMOST HURT THE SMALL DOG, The child almost hurt the small dog.
THERE WAS A SOUND OF DRY LEAVES OUTSIDE, There was a sound of dry leaves outside.
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE, The sky that morning was clear and bright blue.
TORN SCRAPS LITTERED THE STONE FLOOR, Torrent scraps littered the stone floor.
SUNDAY IS THE BEST PART OF THE WEEK, Sunday is the best part of the week.
THE DOCTOR CURED HIM WITH THESE PILLS, The doctor cured him with these pills.
THE NEW GIRL WAS FIRED TODAY AT NOON, The new girl was fired to day at noon.
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT, They felt gay when the ship arrived in port.
ADD THE STORE'S ACCOUNT TO THE LAST CENT, Add the Store's account to the last sent.
ACID BURNS HOLES IN WOOL CLOTH, Asad Burns holds in wall cloth.
FAIRY TALES SHOULD BE FUN TO WRITE, Fairy tales should be fun to write.
EIGHT MILES OF WOODLAND BURN TO WASTE, 8 miles of woodland burned to waste
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS, The third act was dull and tired the players.
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT, A young child should not suffer fright.
ADD THE COLUMN AND PUT THE SUM HERE, Add the column and put the sum here.
WE ADMIRE AND LOVE A GOOD COOK, We admire and love a good cook.
THERE THE FLOOD MARK IS TEN INCHES, They're the flood mark is 10 inches.
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE, He carved a head from the round block of marble.
SHE HAS A SMART WAY OF WEARING CLOTHES, She has a smart way of wearing clothes.
THE FRUIT OF A FIG TREE IS APPLE SHAPED, The fruit of a fig tree is abble shaped.
CORN COBS CAN BE USED TO KINDLE A FIRE, Corn cobs can be used to kindle a fire.
WHERE WERE THEY WHEN THE NOISE STARTED, Where were they when the noise started?
THE PAPER BOX IS FULL OF THUMB TACKS, The paper box is full of thumbtacks.
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN, So your gift to a buyer at a good game.
THE TONGS LAY BESIDE THE ICE PAIL, The tongs lay beside the ice pale.
THE PETALS FALL WITH THE NEXT PUFF OF WIND, The petals fall with the next puff of wind.
BRING YOUR BEST COMPASS TO THE THIRD CLASS, Bring your best compass to the third class.
THEY COULD LAUGH ALTHOUGH THEY WERE SAD, They could laugh while though they were sad.
FARMERS CAME IN TO THRESH THE OAT CROP, Farmers came into thresh the oath crop.
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC, The brown house was on fire to the attic.
THE LURE IS USED TO CATCH TROUT AND FLOUNDER, The lure is used to catch trout and flounder.
FLOAT THE SOAP ON TOP OF THE BATH WATER, float this up on top of the bath water
A BLUE CRANE IS A TALL WADING BIRD, A blue crane is a tall waiting bird.
A FRESH START WILL WORK SUCH WONDERS, A fresh start will work such wonders.
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT, The club rounded the ring for the fifth night.
AFTER THE DANCE, After the dance.
THEY WENT STRAIGHT HOME, They went straight home.
THE HOST HAS TAUGHT THE NEW MAID TO SERVE, The hostess taught the new maid to serve.
HE WROTE HIS LAST NOVEL THERE AT THE INN, He wrote his last novel there at the end.
EVEN THE WORST WILL BEAT HIS LOW SCORE, Even the worst will beat his love score.
THE CEMENT HAD DRIED WHEN HE MOVED IT, The cement had dried when he moved it.
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE, The loss of the second ship was hard to take.
THE FLY MADE ITS WAY ALONG THE WALL, The fly made its way along the wall.
DO THAT WITH A WOODEN STICK, Do that with a wooden stick.
LIVE WIRES SHOULD BE KEPT COVERED, Live wires should be kept covered.
THE LARGE HOUSE HAD HOT WATER TAPS, The large house had hot water taps.
IT IS HARD TO ERASE BLUE OR RED INK, It is hard to erase blue or red ink.
WRITE AT ONCE OR YOU MAY FORGET IT, Right at once or you may forget it.
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS, The doorknob was made of bright clean brass.
THE WRECK OCCURRED BY THE BANK ON MAIN STREET, The wreck occurred by the bank on Main Street.
A PENCIL WITH BLACK LEAD WRITES BEST, A pencil with black league rights best.
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET, Cokes a young calf to drink from a bucket.
SCHOOLS FOR LADIES TEACH CHARM AND GRACE," Schools for ladies, teach charm and grace."
THE LAMP SHONE WITH A STEADY GREEN FLAME, The lamp shown with a steady green flame.
THEY TOOK THE AXE AND THE SAW OF THE FOREST, They took the axe and assault in the forest.
THE ANCIENT COIN WAS QUITE DULL AND WORN, The ancient coin was quite dull and worn.
THE SHAKY BARN FELL WITH A LOUD CRASH, The shaky barn fell with a loud crash.
JAZZ AND SWING FANS LIKE FAST MUSIC, Jazz and Swing fans like fast music.
RAKE THE RUBBISH UP AND THEN BURN IT, Break the rubbish up and then burn it.
SLASH THE GOLD CLOTH INTO FINE RIBBONS, Slash the gold cloth into fine ribbons.
TRY TO HAVE THE COURT DECIDE THE CASE, Try to have the court decide the case.
THEY ARE PUSHED BACK EACH TIME THEY ATTACK, They are pushed back each time they attack.
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS, He broke his ties with groups of former friends.
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS, They floated on the raft to sun their white backs.
THE MAP HAD AN X THAT MEANT NOTHING," The map had an experiment, nothing."
WHITINGS ARE SMALL FISH CAUGHT IN NETS, Wightings are small fish caught in nets.
SOME ADS SERVE TO CHEAT BUYERS, so mad serve to cheat buyers
JERK THE ROPE IN THE BELL RINGS WEAKLY, jerk the rope and the bell rings weekly
A WAXED FLOOR MAKES US LOSE BALANCE, A waxed floor makes a loose balance.
MADAM, Madam
THIS IS THE BEST BRAND OF CORN, This is the best brand of corn.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, On the islands the sea breeze is soft and mild.
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The play began as soon as we sat down.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, This will lead the world to more sound and fury.
ADD SALT BEFORE YOU FRY THE EGG, Add salt before you fry the egg.
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, The rush for funds reached its peak Tuesday.
THE BIRCH LOOKED STARK WHITE AND LONESOME, The birch looked star-quite and loansome.
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The box is held by a bright red snapper.
TO MAKE PURE ICE, to make pure eyes.
YOU FREEZE WATER, You freeze water.
THE FIRST WORM GETS SNAPPED EARLY, The first worm gets snapped early.
JUMP THE FENCE AND HURRY UP THE BANK, Jump the fence and hurry up the bank.
YELL AN CLAP AS THE CURTAIN SLIDES BACK, YELL and PLAP as the curtain slides back.
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD, They are men who walk the middle of the road.
BOTH BROTHERS WERE THE SAME SIZE, Both brothers wear the same size.
IN SOME FORM OR OTHER WE NEED FUN, In some form or other we need fun.
THE PRINCE ORDERED HIS HEAD CHOPPED OFF, The prince ordered his head chopped off.
THE HOUSES ARE BUILT OF RED CLAY BRICKS, The houses are built of red clay bricks.
DUCKS FLY NORTH BUT LACK A COMPASS, Doug's flying Northfoot lag compass.
FRUIT FLAVORS ARE USED IN FIZZ DRINKS, Fruit flavors are used in Fizz drinks.
THESE PILLS DO LESS GOOD THAN OTHERS, These pills do less good than others.
CANNED PEARS LACK FULL FLAVOR, Can't pair slack full flavor.
THE DARK POT HUNG IN THE FRONT CLOSET, The dark pot hung in the front claws it.
CARRY THE PAIL TO THE WALL AND SPILL IT THERE, Carry the pale to the wall and spill it there.
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN, The train brought our hero to the big town.
WE ARE SURE THAT ONE WAR IS ENOUGH, We are sure that one war is enough.
GREAT PAINTS STRETCHED FOR MILES AROUND, grey paint stretched for miles around
THE RUDE LAUGH FILLED THE EMPTY ROOM, The root laugh filled the empty room.
HIGH SEATS ARE BEST FOR FOOTBALL FANS, High seats are best for football fans.
TEA SERVED FROM THE BROWN JUG IS TASTY, tea served from the brown jug is tasty.
A DASH OF PEPPER SPOILS BEEF STEW, A dash of pepper spoils beef stew.
A ZESTFUL FOOD IS THE HOT CROSS BUN, A zest for food is the hot grass bun.
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE, The horse trodden around the field at a brisk pace.
FIND THE TWIN WHO STOLE THE PEARL NECKLACE, Find the twin who stole the pearl necklace.
CUT THE CORD THAT BINDS THE BOX TIGHTLY, Cut the cord that binds the box tightly.
THE RED TAPE BOUND THE SMUGGLED FOOD, The red tape bound the smuggled food.
LOOK IN THE CORNER TO FIND THE TAN SHIRT, Look in the corner to find the denture.
THE COLD DRIZZLE WILL HALT THE BOND DRIVE, The cold drizzle will halt the bond drive.
NINE MEN WERE HIRED TO DIG THE RUINS, 9 men were hired to take the ruins.
THE JUNKYARD HAD A MOULDY SMELL, The junkyard had a moly smell.
THE FLINT SPUTTERED AND LIT A PINE TORCH, The flint spattered and lit a pine torch.
SOAK THE CLOTH AND DROWN THE SHARP ODOUR, Soak the cloth and drown the sharp powder.
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS, The shelves were bare of both jam more crackers.
A JOY TO EVERY CHILD IS THE SWAN BOAT, A joy to every child is this one boat.
ALL SAT FROZEN AND WATCHED THE SCREEN, I'll set Frozen and watch the screen.
A CLOUD OF DUST STUNG HIS TENDER EYES, A cloud of dust stung his tender eyes.
TO REACH THE END HE NEEDS MUCH COURAGE," To reach the end, he needs much courage."
SHAPE THE CLAY GENTLY INTO BLOCK FORM, Shape the clay gently into block form.
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW, A ridge on a smooth surface is a bump or flaw.
HEDGE APPLES MAY STAIN YOUR HANDS GREEN, Hejapples may stain your hand's green.
QUENCH YOUR THIRST, Quanture thirst.
THEN EAT THE CRACKERS, Then need the crackers.
TIGHT CURLS GET LIMP ON RAINY DAYS, Tide curls get limp on rainy days.
THE MUTE MUFFLED THE HIGH TONES OF THE HORN, The mute muffled the high tones of the horn.
THE GOLD RING FITS ONLY A PIERCED EAR, The gold ring frits only appears to you.
THE OLD PAN WAS COVERED WITH HARD FUDGE, The old pen was covered with hard fudge.
WATCH THE LOG FLOAT IN THE WIDE RIVER, Watch the log float in the wide river.
THE NOTE ON THIS STALK OF WHEAT GREW DAILY, The note on the stock of wheat grew daily.
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE, The hub of fallen leaves was set on fire.
RITE FAST IF YOU WANT TO FINISH EARLY, Write fast if you want to finish early.
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE," His shirt was clean, but one button was gone."
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS, The barrel of barrel was a brew-live malt and hops.
TIN CANS ARE ABSENT FROM STORE SHELVES, Ten cans are absent from store shelves.
SLIDE THE BOX INTO THAT EMPTY SPACE, Slide the box into that empty space.
THE PLANT GREW LARGE AND GREEN IN THE WINDOW, The plant grew large and green in the window.
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD, The beam dropped down on the workman's head.
PINK CLOUDS FLOATED WITH THE BREEZE, Pink clouds floated with the breeze.
SHE DANCED LIKE A SWAN, She danced like a swan.
TALL AND GRACEFUL, Tall and graceful
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS, The tube was blown in the tire flat and useless.
IT IS LATE MORNING ON THE OLD WALL CLOCK, It is late morning on the old wall clock.
LET'S ALL JOIN AS WE SING THE LAST CHORUS, Let's all join as we sing the last chorus.
THE LAST SWITCH CANNOT BE TURNED OFF, The last switch cannot be turned off.
THE FIGHT WILL END IN JUST SIX MINUTES, The fire will end in just 6 minutes.
THE STORE WALLS WERE LINED WITH COLORED FROCKS, The store walls were lined with colored frocks.
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS, The piece league met to discuss their plans.
THE RISE TO FAME OF A PERSON TAKES LUCK, The rise to fame of a person takes luck.
PAPER IS SCARCE, Paper is scarce.
SO WRITE WITH MUCH CARE, So write with much care.
THE QUICK FOX JUMPED ON THE SLEEPING CAT, The quick fox jumped on the sleeping cat.
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS, The nozzle of the fire hose was bright brass.
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED, Screw the round cap on as tight as needed.
TIME BRINGS US MANY CHANGES, time brings us many changes
THE PURPLE TIE WAS TEN YEARS OLD, The purple tie was 10 years old.
MEN THINK AND PLAN AND SOMETIMES ACT, Man think and plan and sometimes act.
FILL THE INK JAR WITH STICKY GLUE, Fill the ink jar with sticky glue.
HE SMOKE A BIG PIPE WITH STRONG CONTENTS, He smoke a big pipe with strong contents.
WE NEED GRAIN TO KEEP OUR MULES HEALTHY, We need grain to keep our mules healthy.
PACK THE RECORDS IN A NEAT THIN CASE, Back the records in a neat thin case.
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND, The crunch of feet in the snow was the only sound.
THE COPPER BOWL SHONE IN THE SUN'S RAYS, The copper bullshown in the sun's rays.
BOARDS WILL WARP UNLESS KEPT DRY, Boards will warp unless kept dry.
THE PLUSH CHAIR LEANED AGAINST THE WALL, The plush charlène against the wall.
GLASS WILL CLINK WHEN STRUCK BY METAL, Glass will clean quenched struck by metal.
BATHE AND RELAX IN THE COOL GREEN GRASS, Bade and relax in the cool green grass.
NINE ROWS OF SOLDIERS STOOD IN A LINE, Nine rows of soldiers stood in a line.
THE BEACH IS DRY AND SHALLOW AT LOW TIDE, The beaches dry and shallow at low tide.
THE IDEA IS TO SOW BOTH EDGES STRAIGHT, The idea is to sew both edges straight.
THE KITTEN CHASED THE DOG DOWN THE STREET, The kitten chased the dog down the street.
PAGES BOUND IN CLOTH MAKE A BOOK, Pages bound in cloth make a book.
TRY TO TRACE THE FINE LINES OF THE PAINTING, Try to trace the fine lines of the painting.
WOMEN FORM LESS THAN HALF OF THE GROUP, Women form less than half of the group.
THE ZONES MERGE IN THE CENTRAL PART OF TOWN, Bezone's emerge in the central part of town.
