transcription,file_path
THE BOSS RAN THE SHORE WITH A WATCHFUL EYE,indian_s02_126.txt
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH,indian_s02_495.txt
TICK GLASSES HELPED HIM READ THE PRINT,indian_s02_481.txt
THE LASTS WHICH CANNOT BE TURNED OFF,indian_s02_318.txt
BREAKFAST BUNS ARE FINE WITH A HOT DRINK,indian_s02_456.txt
MENTINK AND PLAN AND SOMETIMES ACT,indian_s02_330.txt
SO RITE WITH MUCH CARE,indian_s02_324.txt
SCREEN THE PORCH WITH WOVEN'S TRAWMATS,indian_s02_442.txt
SIAK THE CLOTH AND DROWN THE SHARP ODOUR,indian_s02_287.txt
SHAPE THE CLAY GENTLY INTO BLOCK FORM,indian_s02_293.txt
THE HORSE TROTTED HER ROUND THE FIELD AT A BRISK BASE,indian_s02_278.txt
A BOWL OF RICE IS FREE WITH CHICKENS TEW,indian_s02_522.txt
A WEXT FLOOR MAKES US LOSE BALANCE,indian_s02_244.txt
ADD SALT BEFORE YOU FRY THE EGG,indian_s02_250.txt
THIS STRONG ARM SHALL SHIELD YOUR HONOUR,indian_s02_536.txt
THERE ARE MORE THAN TWO FACTORS HERE,indian_s02_085.txt
ALWAYS CLOSE THE BARN DOOR TIGHT,indian_s02_091.txt
A THIN BOOK FITS IN THE SIDE POCKET,indian_s02_708.txt
THE WIDE ROAD SHIMMERED IN THE HOT SUN,indian_s02_046.txt
STOP AND STARE AT THE HARD WORKING MAN,indian_s02_720.txt
THE LONG JOURNEY HOME TOOK A YEAR,indian_s02_734.txt
MESH WIRE KEEPS CHICKS INSIDE,indian_s02_052.txt
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH,indian_s02_718.txt
THE SHOW WAS AFLOP FROM THE VERY START,indian_s02_056.txt
HE SENT THE BOY ON A SHORT ERRAND,indian_s02_730.txt
FISHERREAD THE NET AND SWIM OFF,indian_s02_724.txt
WHAT JOY THERE IS IN LIVING,indian_s02_042.txt
A POUND OF SUGAR COST SMOOTH THEIR EGGS,indian_s02_095.txt
THE PEARL WAS WON IN A TIN SILVER RING,indian_s02_081.txt
THE DARK POT HUNG IN THE FRONT CLOSET,indian_s02_268.txt
THE KITE DIPPED AN SWAYED,indian_s02_532.txt
TO MAKE PURICE,indian_s02_254.txt
THE MAP HAD AN EXTETMEANT NOTHING,indian_s02_240.txt
THAT GUIES THE WRITER OF A FEW BAND BOOKS,indian_s02_526.txt
THEN NEAT THE CRACKERS,indian_s02_297.txt
THE COLD DRIZZLE WILL HAULT THE BONE DRIVE,indian_s02_283.txt
TINKANS ARE ABSENT FROM STORE SHELVES,indian_s02_308.txt
THESE COINS WILL BE NEEDED TO PAY HIS DEBT,indian_s02_446.txt
THE STOWE WALLS WERE LINED WITH COLOURED FROCKS,indian_s02_320.txt
PACK THE RECORDS IN UNEE TEN CAYS,indian_s02_334.txt
THE MARSH WILL FREEZE WEN COLD ENOUGH,indian_s02_452.txt
AUFREMAUV IS STYLISH ONCE MORE,indian_s02_485.txt
THE YOUTH DROVE WITH ZIST,indian_s02_491.txt
TO SEND IT NOW IN LADGE AMOUNTS IS BAD,indian_s02_678.txt
ALINBAC KEPT HIS SCOR LEAU,indian_s02_122.txt
THE SINC IS THE THING IN WHICH WE BUY LISHES,indian_s02_644.txt
PLEAD WITH THE LAWYER TO DROP THE LOST CORSE,indian_s02_650.txt
PLUCK THE BRIGHT ROSE WITHOUT LEAVES,indian_s02_136.txt
PICUICOT AND SLIP IT UNDER THE BACK,indian_s02_687.txt
DOTS OF LIGHT BETRAYED THE BLACK CAT,indian_s02_693.txt
YOU CANNOT BROUTI IN A COL POT,indian_s02_692.txt
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE,indian_s02_686.txt
CALFS TRIVE ON PENDER SPRING GRASS,indian_s02_651.txt
DWU BLA SEVEN IS LESS THAN TEN,indian_s02_137.txt
WE FIND JOY IN THE SIMPLEST THINGS,indian_s02_123.txt
A WHIFF OF IT WILL CURE THE MOST STUBBORN COLD,indian_s02_645.txt
THERE IS A FINE HARD PANG IN SALT YEAR,indian_s02_679.txt
WE DON'T GET MUCH MONEY BUT WE HAVE FUN,indian_s02_490.txt
THE GUITE FLEW WIDELY IN THE HIGH WIND,indian_s02_484.txt
THE CRUNCH OF FEET IN THE SNOW WAS THE ONLY SOUND,indian_s02_335.txt
THIS LIES THE SAUSAGE TIN WITH A KNIFE,indian_s02_453.txt
THE KNIGHT PULL THE FRAIL GART ALONG,indian_s02_447.txt
THE PIECE LEAG MENT TO DISCUSS THEIR PLANS,indian_s02_321.txt
SLIDE THE BOX INTO THAT EMPTY SPACE,indian_s02_309.txt
LOOK IN THE CORNER TO FIND THE DANSHIT,indian_s02_282.txt
QUENCH YOUR THIRST,indian_s02_296.txt
WHIDINGS ARE SMALL FISH CAUGHT IN NETS,indian_s02_241.txt
THE LITTLE DEALS DE TELL OUR FAULLS,indian_s02_527.txt
BUT STAYED ALOFT,indian_s02_533.txt
YOU FREEZE WATER,indian_s02_255.txt
CARRY THE PAL TO THE WALL AND SPILL IT THERE,indian_s02_269.txt
THE HEART BEATS STRONGLY AND WITH FIRMS STROLKS,indian_s02_080.txt
A WISP OF CLOUD HUNG IN THE BLUE AIR,indian_s02_094.txt
DIP THE PEAL ONCE AND LET IT SETTLE,indian_s02_725.txt
A KING RULED THE STATE IN THE EARLY DAYS,indian_s02_043.txt
A SAW IS A TOO USED FOR MAKING BODS,indian_s02_057.txt
LEAVE NOW AND YOU WILL ARRIVE ON TIME,indian_s02_731.txt
THE BOMBS LEFT MOST OF THE TOWN IN RUINS,indian_s02_719.txt
THE SEIT OF CHINA HIT THE FLOOR WITH A CRASH,indian_s02_069.txt
THE MEAL WAS COOKED BEFORE THE BILL RANG,indian_s02_041.txt
THE BIG RET APPLE FELL TO THE GROUND,indian_s02_727.txt
A GOLD RING WILL PLEASE MOST ANY GIRL,indian_s02_733.txt
ADDING FAST LEADS TO WRONG SUMS,indian_s02_055.txt
THE FRUIT PEAL WAS CUT IN THICK SLICES,indian_s02_082.txt
THE FINN WAS SHARP AND CUT THE CLEAR WATER,indian_s02_096.txt
THE DUSTY BENCH STOOD BY THE STONE WALL,indian_s02_519.txt
BUT KEEP STILL,indian_s02_525.txt
JORK THE ROPE AND THE BELL RINGS WEAKLY,indian_s02_243.txt
JUMP THE FENCE AND HURRY UP THE BANK,indian_s02_257.txt
A BIG WET STEAN WAS ON THE ROUND CARPET,indian_s02_531.txt
CUT THE CORD THAT BINDS THE BOX TIGHTLY,indian_s02_280.txt
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLOOR,indian_s02_294.txt
THE CREAM BEFORE THE FIRE KEPT IN THE SPARKS,indian_s02_479.txt
NEW PAN SLAG CUFFS AND POCKETS,indian_s02_451.txt
BOARDS WILL WARP UNLESS KEPT DRY,indian_s02_337.txt
PEEPER IS SCARCE,indian_s02_323.txt
HE PICKED UP THE DICE FOR A SECOND ROLE,indian_s02_445.txt
BUT LITTLE SKILL,indian_s02_492.txt
THET IN BOX HELD PRICELESS STONES,indian_s02_486.txt
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE,indian_s02_109.txt
HE SAID THE SAME FREE AS THIRTY TIMES,indian_s02_135.txt
TERE A TIN SHEET FROM THE YELLOW PAD,indian_s02_653.txt
SHE FLAPS HER GAPE AS SHE PARATES THE STREET,indian_s02_647.txt
HEMP IS A WEED FOUND IN POTS OF THE TROPICS,indian_s02_121.txt
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW,indian_s02_690.txt
CAP THE JAW WITH THE TIGHT BRASS COVER,indian_s02_684.txt
THE POOR BOY MISSED THE BOAT AGAIN,indian_s02_685.txt
THE MEAL COMES IN THREE BATCHES PER DAY,indian_s02_691.txt
THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT,indian_s02_646.txt
WEAVE THE CARPET ON THE RIGHT HAND SIDE,indian_s02_120.txt
A CRAMP IS NO SMALL DANGER HONEST WHIM,indian_s02_134.txt
BOAST NO BILLS ON THIS OFFICE WALL,indian_s02_652.txt
THIEVES WHO ROB FRIENDS DESERVE JAIL,indian_s02_108.txt
WE NEED AN END OF ALL SUCH MATTER,indian_s02_487.txt
FIVE YEARS HE LIVED WITH A SHAGGY DOG,indian_s02_493.txt
THE RISE TO FAME OF A PERSON TAKES LOCK,indian_s02_322.txt
THE DRY WAX PROTECTS THE DEEP SCRATCH,indian_s02_444.txt
THE SMELL OF BURNED RAGS SICH IS MY NOSE,indian_s02_450.txt
THE COPPER BOWL SHONE IN THE SUN'S RAYS,indian_s02_336.txt
THE HINGE ON THE DOOR CREAKED WITH OLD AGE,indian_s02_478.txt
HER JACKLES ME STAIN YOUR HANDS GREEN,indian_s02_295.txt
THE RED TAPE BOUND THE SMUGGLED FOOD,indian_s02_281.txt
THE FIRST WORM GETS SNAP DOLLY,indian_s02_256.txt
RIPE BARS ARE FIT FOR A QUEEN'S STABLE,indian_s02_530.txt
TAKE SHELTER IN THIS DENT,indian_s02_524.txt
SOME MADS SERVE TO CHEAT BUYERS,indian_s02_242.txt
THE SQUARE WOODEN CRATE WAS BACKED TO BE SHIPPED,indian_s02_518.txt
THE PLACE SEEMS DULL AND QUITE STUPID,indian_s02_097.txt
THE NEVY ATTACKED THE BIG TASK FORCE,indian_s02_083.txt
THE CORNER STORY WAS ROBBED LAST NIGHT,indian_s02_732.txt
THE CROOKED MAYS FEEL TO FOOL THE MOUSE,indian_s02_054.txt
THE YOUNG GIRL GAVE NO CLEAR RESPONSE,indian_s02_040.txt
WILL YOU PLEASE ANSWER THAT PONE,indian_s02_726.txt
CARS AND BUSSES STOLLED IN SNOW DRIFTS,indian_s02_068.txt
HER PURSE WAS FULL OF USELESS THRASH,indian_s02_027.txt
SHE CALLED HIS NAME MANY TIMES,indian_s02_741.txt
TWICE THE LOAD TO YOUR LEFT SHOULDER,indian_s02_033.txt
THE THEFT OF THE BULL PIN WAS KEPT SECRET,indian_s02_543.txt
THE WRECK OCCURRED BY THE BANK ON MEAN STREET,indian_s02_225.txt
THE ANCIENT COIN WAS QUITE DULL AND WORN,indian_s02_231.txt
A THICK COAT OF BLACK PINT COVERED ALL,indian_s02_557.txt
DO THAT WITH A WOODEN STICK,indian_s02_219.txt
PAINT THE SOCKETS IN THE WALL DULL GREEN,indian_s02_580.txt
THE WEIGHT OF THE BACKAGE WAS SEEN ON THE HIGH SCALE,indian_s02_594.txt
HATS ARE WORN TO TEA AND NOT TO DINNER,indian_s02_437.txt
MOST OF THE NEWS IS EASY FOR US TO HEAR,indian_s02_351.txt
PAGES BOUND IN CLOTH MAKE A BOOK,indian_s02_345.txt
NUDGED GENTLY BUT WEAKER NOW,indian_s02_423.txt
THE LAKE SPARKLED IN THE RED HOT SUN,indian_s02_379.txt
HE WROTE DOWN A LONG LIST OF ITEMS,indian_s02_392.txt
NOT WHINS BRINCLS AND FEVERS,indian_s02_386.txt
THE CIGAR BURNED A HOLE IN THE DESK TOP,indian_s02_153.txt
THE FARMER SWOPPED HIS HORSE FOR A BROWN OX,indian_s02_635.txt
GET THE TRUST FUN TO THE BANKERLY,indian_s02_621.txt
THE JUST CLEAM GOT THE RIGHT VERDICT,indian_s02_147.txt
SLIDE THE CATCH BACKENED OPEN THE DESK,indian_s02_609.txt
ADD THE COLUMN AND PUT THE SUM HERE,indian_s02_190.txt
ADD THE STARS ACCOUNT TO THE LAST CENT,indian_s02_184.txt
AS IT BURNS HOLDS IN WOOLCLOTH,indian_s02_185.txt
WE ADMIRE AN LOVE A GOOD COOK,indian_s02_191.txt
PAPER WILL DRY OUT WHEN WET,indian_s02_608.txt
A STIFF GODWILL DO TO FASTEN YOUR SHOE,indian_s02_620.txt
A SALT PICKLE TASTES FINE WITH HAM,indian_s02_146.txt
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT,indian_s02_152.txt
THE TEM WITH THE BEST TIMING LOOKS GOOD,indian_s02_634.txt
HE ASKS NO PERSON TO VOUCH FOR HIM,indian_s02_387.txt
A SIEGE WILL CRACK THE STRONG DEFENCE,indian_s02_393.txt
THIS BLANK WAS MADE FOR WALKING ON,indian_s02_378.txt
THE KITTEN CHASED THE DOG DOWN THE STREET,indian_s02_344.txt
GREASE MAKES UP FOR LACK OF BEAUTY,indian_s02_422.txt
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST,indian_s02_436.txt
COD IS USED WHEN SECRETS ARE SENT,indian_s02_350.txt
WEEK AND RISE,indian_s02_595.txt
THE CHILD CRAWLED INTO THE DENSE GRASS,indian_s02_581.txt
THE FLY MEEDID THREE ALONG THE WALL,indian_s02_218.txt
THEY TOOK THE AXE AND A SORT IN THE FOREST,indian_s02_230.txt
FLOOD THE MEALS WITH REQUESTS FOR THIS BOOK,indian_s02_556.txt
THE BANK PRESSED FOR PAYMENT OF THE DEBT,indian_s02_542.txt
THE DAWNOB WAS MADE OF BRIGHT CLEAN BRASS,indian_s02_224.txt
READ VERSE OUT LOUD FOR PLEASURE,indian_s02_032.txt
DO BLUEFISH SWAM IN THE BANK,indian_s02_026.txt
A SEVERE STORM TORED DOWN THE BARN,indian_s02_740.txt
GREANED,indian_s02_030.txt
WHEN YOU HEAR THE BELCOME QUICKLY,indian_s02_742.txt
THE SWAN DIFE WAS FAR SHOT OF PERFECT,indian_s02_024.txt
THE SOFT CUSHION BROKE THE MAN'S FALL,indian_s02_018.txt
CHEAP CLOTHES ARE FLASHY BUT DON'T LAST,indian_s02_554.txt
THE SHAKY BONE FELL WITH A LOUD CRASH,indian_s02_232.txt
A PENCIL WITH BLACKLEY DRIDES BEST,indian_s02_226.txt
NEAT PLANS FILL WITHOUT LUCK,indian_s02_540.txt
FILL YOUR BACK WITH BRIGHT DRINKETS FOR THE POOR,indian_s02_568.txt
THE GREEN LIGHT IN THE BROWN BOX FLICKERED,indian_s02_597.txt
TRAMPLE THE PARK,indian_s02_583.txt
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH,indian_s02_420.txt
TRY TO TREACE THE FINE LINES OF THE PAINTING,indian_s02_346.txt
HE USED THE LAD TO MAKE BRASS OBJECTS,indian_s02_352.txt
DRAW THE CHOT WITH HEAVY BLACK LINES,indian_s02_434.txt
IT TAKES HEET TO BRING OUT THE ODOR,indian_s02_408.txt
THE FUR OF CATS GOES BY MANY NAMES,indian_s02_385.txt
THAT MOVE MEANS THE GAME IS OVER,indian_s02_391.txt
THE YOUNG KID JUMPED THE RUSTY GATE,indian_s02_144.txt
CHOOSE BETWEEN THE HIGH ROAD AND THE LOW,indian_s02_622.txt
SIT ON THE PERCH AND TELL THE OTHERS WHAT TO DO,indian_s02_636.txt
THE TREE TOP WAVED IN A GRACEFUL WAY,indian_s02_150.txt
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE,indian_s02_178.txt
EIGHT MILES OF WOODLAND BURN TO WASTE,indian_s02_187.txt
HE CARVED AHEAD FROM THE ROUND BLOCK OF MARBLE,indian_s02_193.txt
THERE THE FLOOD MOCK IS TEN INCHES,indian_s02_192.txt
FAIRY TALES SHOULD BE FUN TO WRITE,indian_s02_186.txt
DON SCRAPS LITTERED THE STOWNE FLOOR,indian_s02_179.txt
A STEEP TRAIL IS PAINFUL FOR OUR FEET,indian_s02_637.txt
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK,indian_s02_151.txt
GUESSED THE RESULT FROM THE FIRST SCAUSE,indian_s02_145.txt
A PLEA FOR FUN SEEMS TO COME AGAIN,indian_s02_623.txt
SOAP CAN WASH MOST DIRT AWAY,indian_s02_390.txt
TIK TO SHARES AS A FAIR PROPHET,indian_s02_384.txt
BEEF IS SCARCER THAN SOME LAMB,indian_s02_409.txt
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND,indian_s02_353.txt
THE BOY OWED HIS PALTOR DESCENTS,indian_s02_435.txt
NO HARDSHIPS SEEMED TO MAKE HIM SAD,indian_s02_421.txt
WOMEN FORM LESS THAN HALF OF THE GROUP,indian_s02_347.txt
BRIBES FEEL WHERE HONEST MEN WORK,indian_s02_582.txt
AND STEP INTO THE GREEN OUTDOORS,indian_s02_596.txt
THE SMALL DREDNEON LAMP WENT OUT,indian_s02_569.txt
COAX A YOUNG AFFTER DRINK FROM A BUCKET,indian_s02_227.txt
THE BLACK TRUNK FELL FROM THE LANDING,indian_s02_541.txt
A THING OF SMALL NUTE CANCAUSE DESPAIR,indian_s02_555.txt
JAS AND SWING FANS LIKE FAST MUSIC,indian_s02_233.txt
THE SALT BREEZE CAME ACROSS FROM THE SEA,indian_s02_019.txt
THE BEAUTY OF THE VIEWSTON THE YOUNG BOY,indian_s02_025.txt
AND HAIL THE SAME MORNING,indian_s02_031.txt
FONDRAUES OF STEADY WORK FACED US,indian_s02_009.txt
NOTE CLOSELY THE SIZE OF THE GAS DANK,indian_s02_035.txt
THE SMALL PUP NAWED A HOLE IN THE SOCK,indian_s02_021.txt
A BRICK IN THE DAM ALMOST CAUSED A FLOOD,indian_s02_579.txt
THEY ARE PUSHED BACK EACH TIME DEODAC,indian_s02_237.txt
EVEN A JUST CAUSE NEEDS POWER TO WIN,indian_s02_551.txt
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE,indian_s02_545.txt
WRITE AT ONCE OR YOU MAY FORGET IT,indian_s02_223.txt
THE BIPERAN ALMOST THE LENGTH OF THE DITCH,indian_s02_592.txt
A ROUND HOLE WAS DRILLED THROUGH THE THEN BOARD,indian_s02_586.txt
THE YOUNG PEDLER CRIED,indian_s02_419.txt
THE IDEA IS TO SO BOTH TETCHES STRAIHT,indian_s02_343.txt
ONCE WE STOOD BESIDE THE SHOW,indian_s02_425.txt
THE POINT OF THE STEEL PEN WAS BENT UNTWISTED,indian_s02_431.txt
IT GIVES US SWAMPH AND COMFORT,indian_s02_357.txt
HE CRAWLED WITH CARE ALONG THE LEDGE,indian_s02_380.txt
GRIP JUICE AND WATER MIX WELL,indian_s02_394.txt
WHAT IS BEST FOR MAKING TOYS AND BLOCKS,indian_s02_169.txt
GREET THE NEW GUESTS AND LEAVE QUICKLY,indian_s02_627.txt
CLOTHES AND LODGING ARE FREE TO NEW MEN,indian_s02_141.txt
A SPEEDY MAN CAN BEAT THE STRACT MARK,indian_s02_155.txt
THE RAM CARED THE SCHOOL CHILDREN OFF,indian_s02_633.txt
THE NEW GIRL WAS FIRED TO DAY AT NOON,indian_s02_182.txt
CORN COBS CAN BE USED TO KINDLE A FIRE,indian_s02_196.txt
WHERE WERE THEY WHEN THE NOISE STARTED,indian_s02_197.txt
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT,indian_s02_183.txt
THE EMPTY FLASK STOOD ON THE DINTRE,indian_s02_154.txt
LUSH FORMS GROW ON THE LOFTY ROCKS,indian_s02_632.txt
THE DUKE LEFT THE BARK IN A SILVER COACH,indian_s02_626.txt
WRITE A FONE NOTE TO THE FRIEND YOU CHERISH,indian_s02_140.txt
AN ABRUPT START DOES NOT WIN THE PRIZE,indian_s02_168.txt
ROADS ARE BATHED WITH STICKY DARK,indian_s02_395.txt
THEN THE SHEEP WHILE THE DOG WONDERS,indian_s02_381.txt
THE SAND DRIFTS OVER THE SILLS OF THE OLD HOUSE,indian_s02_430.txt
LET IT BURN,indian_s02_356.txt
THE BEACH IS DRY AND SHALLOW AT LO TIDE,indian_s02_342.txt
THE NEWS STRUCK DOUT INTO RESTLESS MINDS,indian_s02_424.txt
THREE FOR E DIME,indian_s02_418.txt
FOOTPRINTS SHOWED THE PATH HE TOOK UP THE BEACH,indian_s02_587.txt
IT WAS HIDDEN FROM SIGHT BY A MOSS OF LEAVES AND SHRUBS,indian_s02_593.txt
SHAKE HANDS WITH THIS FRIENDLY CHILD,indian_s02_544.txt
IT IS HARD TO ERASE BLUE OR REDDINK,indian_s02_222.txt
TRY TO HAVE THE COAT BESIDE THE CASE,indian_s02_236.txt
A STRONG BID ME SCARE YOUR PARTNER STIFF,indian_s02_550.txt
A WHITE SILK JACKET GOES WITH ANY SHOES,indian_s02_578.txt
THE GIRL ACKED THE BOOT SOLD FIFTY BONDS,indian_s02_020.txt
TAKE THE WINDING BOTH TO REACH THE LAKE,indian_s02_034.txt
THE HOGS WERE FED CHOPPED CORN AND GOBBAGE,indian_s02_008.txt
THE FISH TWISTED AND BURNED ON THE BENT HOOK,indian_s02_022.txt
WIPE THE GREEZE OFF HIS DIRTY FACE,indian_s02_036.txt
A BLUE CRAN IS A TALL WADING BIRD,indian_s02_208.txt
LIVE WIRES SHOULD BE KEPT COVERED,indian_s02_220.txt
A RICH FARM IS READ IN THIS SUNDY WASTE,indian_s02_546.txt
PEEP UNDER THE TENT AND SEE THE CLOWNS,indian_s02_552.txt
WRICK THE RUBBYSHOP AND THEN BURN IT,indian_s02_234.txt
THE HILT OF THE SWORT WAS CARVED WITH FINE DESIGNS,indian_s02_585.txt
IT IS A BAND OF STEEL TREE INCHES WIDE,indian_s02_591.txt
